Creamery_Rankings
Timestamp,Name,Role,I am,Blue Goggles,Cookies & Cream,Earnestly Chocolate,Graham Canyon,Lemon Berry Cheesecake,Mint Chocolate Chip,Peanut Butter Trails,Pralines & Caramel,Raspberry and Cream Cheese,Email,Roasted Almond Fudge,Strawberry Sundae Crunch,Sparkle Sherbet
8/30/2024 14:31:56,Isabella Allen,Student,considering stats as a major,2,4,11,8,9,3,5,12,6,isabella@gmail.com,10,7,1
8/30/2024 14:31:57,Noah Young,Student,a stats major,9,1,3,5,10,11,2,4,6,noah@gmail.com,7,8,12
8/30/2024 14:32:18,Sophia King,Student,a stats major,5,3,9,1,8,11,7,6,4,sophia@gmail.com,12,2,10
8/30/2024 14:32:30,Jackson Wright,Student,a stats major,4,3,11,1,6,10,9,5,8,jackson@gmail.com,7,2,12
8/30/2024 14:32:52,Avery Scott,Student,a stats major,5,3,1,6,7,4,10,11,9,avery@gmail.com,2,8,12
8/30/2024 14:33:09,Aiden Green,Student,a stats major,12,10,3,5,2,6,4,8,11,aiden@gmail.com,1,9,7
8/30/2024 14:33:12,Ella Baker,Student,considering stats as a major,2,5,10,1,6,11,9,4,8,ella@gmail.com,3,7,12
8/30/2024 14:33:14,Sebastian Adams,Student,a stats major,9,5,11,4,12,10,2,3,6,sebastian@gmail.com,1,8,7
8/30/2024 14:33:36,Lucas Hall,Student,a stats major,2,11,3,1,7,9,12,6,4,lucas@gmail.com,8,5,10
8/30/2024 14:33:47,Madison Nelson,Student,considering stats as a major,10,2,5,6,8,9,4,1,7,madison@gmail.com,3,11,12
8/30/2024 14:33:57,Samuel Carter,Student,a stats major,11,4,3,8,12,6,10,5,1,samuel@gmail.com,2,9,7
8/30/2024 14:33:57,Grace Mitchell,Student,a stats major,4,5,1,2,3,10,11,7,12,grace@gmail.com,6,9,8
8/30/2024 14:34:00,Henry Perez,Student,a stats major,2,6,10,1,4,3,9,8,5,henry@gmail.com,11,7,12
8/30/2024 14:34:04,Elizabeth Roberts,Student,a stats major,4,7,3,1,11,9,6,2,5,eliza@gmail.com,8,10,12
8/30/2024 14:34:05,Alexander Turner,Faculty,a stats major,11,5,9,1,12,2,6,3,10,alex@gmail.com,7,4,8
8/30/2024 14:34:14,Chloe Phillips,Student,considering stats as a major,3,9,12,10,1,2,11,4,8,chloe@gmail.com,7,6,5
8/30/2024 14:34:45,Elijah Campbell,Student,a stats major,7,8,9,12,11,1,3,6,5,elijah@gmail.com,10,2,4
8/30/2024 14:34:49,Isabella Parker,Student,considering stats as a major,2,4,6,9,12,5,1,7,8,parker@gmail.com,3,10,11
8/30/2024 14:35:03,William Moore,Faculty,just here for the ice cream,6,5,7,8,9,4,10,11,2,will@gmail.com,12,3,1
8/30/2024 14:35:11,Harper Evans,Student,considering stats as a major,5,4,3,7,10,2,8,12,6,harper@gmail.com,9,11,1
8/30/2024 14:35:28,Benjamin Murphy,Student,a stats major,1,2,10,5,11,4,3,6,8,benji@gmail.com,9,7,12
8/30/2024 14:35:38,Avery Jackson,Faculty,a stats major,10,2,8,3,11,4,5,6,7,avery@gmail.com,1,9,12
8/30/2024 14:35:47,Lily Hill,Student,just here for the ice cream,4,3,10,1,5,7,6,12,8,lily@gmail.com,9,11,2
8/30/2024 14:35:48,William Moore,Student,a stats major,5,4,9,6,11,3,1,2,7,moore@gmail.com,8,10,12
8/30/2024 14:35:49,Harper Evans,Student,a stats major,1,4,5,3,11,6,9,8,10,evans@gmail.com,7,12,2
8/30/2024 14:35:55,Benjamin Murphy,Student,considering stats as a major,11,4,9,1,2,12,8,3,6,BenjaminMurphy@gmail.com,7,5,10
8/30/2024 14:36:18,Avery Jackson,Student,considering stats as a major,2,4,12,1,5,8,9,10,6,AveryJackson@gmail.com,7,11,3
8/30/2024 14:36:59,Lily Hill,Student,just here for the ice cream,10,4,3,1,11,5,2,8,7,Lilyhill@gmail.com,9,6,12
8/30/2024 14:37:03,Mason Anderson,Student,a stats major,3,11,6,12,2,9,4,10,5,anderson@gmail.com,8,7,1
8/30/2024 14:37:52,Ella Thomas,Faculty,just here for the ice cream,3,5,6,2,7,10,12,11,8,EllaThomas@gmail.com,1,4,9
8/30/2024 14:37:59,Logan Scott,Student,just here for the ice cream,9,8,2,6,11,12,10,5,1,LoganScott@gmail.com,3,7,4
8/30/2024 14:38:04,Amelia Collins,Faculty,a stats major,11,3,1,2,9,10,7,4,5,AmeliaCollins@gmail.com,8,6,12
8/30/2024 14:38:40,James Rodriguez,Student,a stats major,10,3,6,2,11,9,12,8,4,JamesRodriguez@gmail.com,5,7,1
8/30/2024 14:39:07,Charlotte Sanchez,Faculty,a stats major,7,8,9,10,1,11,4,5,2,CharlotteSanchez@gmail.com,6,3,12
8/30/2024 14:39:20,Henry Clark,Student,a stats major,5,6,4,7,9,1,3,8,10,HenryClark@gmail.com,2,11,12
8/30/2024 14:39:31,Victoria Lewis,Faculty,a stats major,12,1,2,4,11,9,10,5,6,VictoriaLewis@gmail.com,3,7,8
8/30/2024 14:39:48,Alexander Walker,Faculty,just here for the ice cream,5,6,1,3,9,11,7,12,10,AlexanderWalker@gmail.com,8,2,4
8/30/2024 14:40:31,Grace Allen,Faculty,a stats major,1,4,12,10,2,8,7,6,3,GraceAllen@gmail.com,11,9,5
8/30/2024 14:43:54,Ethan Hall,Student,considering stats as a major,9,1,8,2,7,10,6,12,3,EthanHall@gmail.com,5,4,11
